|    |   Accuracy |   Precision |   Recall |
|---:|-----------:|------------:|---------:|
|  0 |   1        |    0.983607 | 1        |
|  1 |   1        |    0.995851 | 1        |
|  2 |   0.997333 |    0.996005 | 0.997333 |
|  3 |   0.991111 |    0.95096  | 0.991111 |
|  4 |   0.990909 |    1        | 0.990909 |
|  5 |   0.996825 |    0.979719 | 0.996825 |
|  6 | nan        |    0        | 0        |
|  7 | nan        |    0        | 0        |
|  8 |   0.997222 |    0.998609 | 0.997222 |
|  9 |   1        |    0.974729 | 1        |
| 10 |   1        |    0.983607 | 1        |
| 11 |   0.887365 |    0.999322 | 0.887365 |
